,FoodItem,Item.No,Category,Palatability,Energy_levels,Energy_levels2,NOVA_Group,NOVA_Group2,Liking,Familiarity,Healthiness,Expected_Satiation,Frequency_of_consumption,Energy_content,Estimated_ED,Carbohydrate,Fat,Protein,Fibre,Sugars,Starch_Polyols,SatFat,Salt,Sodium,Energy_density,Portion,Actual_price,red,green,blue,Object_size,Brightness,Within_object_contrast,complexity,norm_complexity,Spatial_frequency,meanpow,visual_area_px,visual_area_cm2
1,Arkijuustoviipale / Finnish cheese slices ,1,Fat,Not HPF,MED,HED,PF,MPF,61.37096774,72.47419355,44.94193548,50.22741935,6.322580645,133.1070968,68.12741935,0,8.7528,9.8469,0,0,0,5.1058,0.54705,0.215204563,3.29,36.47,0.330175067,0.33970298,0.33655351,0.323743509,0.99999867,53.2725816,23.57747,0.024677635,0.024677668,15.64301,16.62813,319367,50.35994296
12,Burgeri / Burger,2,Combo,HPF,MED,HED,UPF,UPF,65.06451613,81.90322581,29.55645161,56.25483871,4.064516129,163.3122581,66.73709677,18.3288,3.0548,5.2368,0,2.35656,15.97224,0.61096,0.56732,0.2231786,2.75,43.64,0.37094,0.343019689,0.336270315,0.320709996,0.999999252,60.89897911,29.61611,0.029721318,0.02972134,16.40475,17.19942,445538,70.25543737
23,Cashewpähkinä / Cashew nuts,3,Fat,Not HPF,HED,VHED,MPF,MPF,62.91935484,80.41774194,71.31612903,44.98548387,6.548387097,122.9767742,71.90645161,3.96,9.52,4.1,1.04,1.3,2.66,1.8,0.004,0.001573564,6,20,0.35,0.339927336,0.336111859,0.323960805,0.999995261,62.5400422,24.3554,0.023640134,0.023640246,16.69654,17.42815,252291,39.7829468
34,Cheddar viipaleet / Cheddar cheese slices,4,Fat,HPF,MED,HED,UPF,UPF,59.05645161,73.25322581,29.59354839,29.58709677,3.161290323,107.2103226,66.05967742,1.905,7.3025,4.445,0,1.905,0,4.826,1.11125,0.437155783,2.87,31.75,0.2619375,0.344431414,0.336732947,0.318835639,0.99999709,64.50615002,23.10822,0.020989436,0.020989498,16.76004,17.41369,525659,82.88945713
45,Cola kumikarhut / Cola gummy bears,5,Carbohydrate,Not HPF,MED,HED,UPF,UPF,58.94354839,76.74516129,6.541935484,17.46290323,1.35483871,106.6103226,68.44032258,27.38957,0,2.03547,0,17.24793,10.14164,0,0.007142,0.002809599,3.36,35.71,0.213069667,0.342957114,0.335802637,0.321240249,0.999996259,62.96774786,27.35792,0.024294807,0.024294898,16.29952,17.19591,325639,51.34895423
56,Goudajuustoviipale / Gouda cheese slices,6,Fat,Not HPF,MED,HED,PF,MPF,65.98387097,75.93870968,43.40483871,35.4516129,6.548387097,98.13290323,64.12258065,0,9.73152,8.05728,0,0,0,6.73184,0.59296,0.233265146,3.44,34.88,0.3706,0.340686939,0.337346014,0.321967047,0.999999002,58.10156649,21.6764,0.020962834,0.020962855,16.71239,17.33224,749208,118.1401715
67,Grillimakkara / Grilled sausage,7,Fat,HPF,MED,HED,UPF,UPF,55.67741935,79.90806452,31.42903226,52.44193548,1.806451613,128.5277419,63.63387097,4.7899,9.5798,3.83192,0.20168,0.05042,4.73948,3.88234,1.0084,0.396695515,2.38,50.42,0.3138645,0.342896151,0.335363846,0.321740003,0.999994098,60.1309586,29.26792,0.025495664,0.025495815,15.86145,16.82496,439626,69.32319333
71,Hedelmäinen makeissekoitus / Fruit flavored sweet mix,8,Carbohydrate,Not HPF,MED,HED,UPF,UPF,59.89516129,72.6016129,6.885483871,22.01774194,3.048387097,109.9935484,67.54032258,27.584,0.1724,2.0688,0,18.2744,9.3096,0,0.041376,0.016276947,3.48,34.48,0.265003429,0.341799592,0.336841496,0.321358912,0.999996425,60.0863997,25.19957,0.020340999,0.020341071,16.1307,16.97866,241476,38.07756464
72,Hedelmämysli / Fruit muesli,9,Carbohydrate,Not HPF,MED,HED,PF,MPF,57.88709677,74.3016129,59.45483871,45.57258065,4.85483871,112.6412903,58.29032258,23.65948,1.26503,2.42749,2.11978,9.5732,14.08628,0.61542,0.010257,0.004035012,3.51,34.19,0.159097467,0.338145361,0.333977898,0.327876741,1,48.79442948,28.90903,0.029407303,0.029407303,17.72935,18.49949,384349,60.60674308
2,Hot wings ,10,Fat,Not HPF,MED,HED,UPF,UPF,58.12096774,74.76612903,37.85483871,39.06290323,1.806451613,126.7122581,65.33387097,2.14704,7.82775,9.93006,0.26838,0.22365,1.92339,1.47609,0.53676,0.21115657,2.683,44.73,1.2425,0.342227185,0.334938156,0.322834659,0.999998337,57.53898093,32.33099,0.020925008,0.020925043,16.7198,17.48805,283105,44.64190618
3,Jauhelihapizza / Minced meat pizza,11,Combo,Not HPF,MED,HED,UPF,UPF,58.7016129,70.22580645,29.88548387,51.27096774,2.032258065,145.4709677,70.16290323,13.5,5,4.55,0,1.75,11.75,1.65,0.45,0.177025964,2.4,50,0.2625,0.345111441,0.335851097,0.319037462,0.999998337,59.37811562,32.02324,0.03022261,0.030222661,16.70808,17.45727,444348,70.06779014
4,Juustosnacks / Cheese snacks,12,Combo,Not HPF,HED,VHED,UPF,UPF,58.73387097,76.64193548,9.217741935,31.74516129,0.903225806,154.9354839,60.47419355,11.1282,7.2006,2.182,0,0.78552,10.34268,1.35284,0.39276,0.154508261,5.5,21.82,0.193130213,0.355668459,0.337381833,0.306949707,1,50.83094004,29.60786,0.025085104,0.025085104,16.98003,17.72552,2001627,315.630048
5,Kaakaomuffinssit vaniljacremetäytteellä / Chocolate muffins with vanilla cream filling ,13,Combo,HPF,HED,VHED,UPF,UPF,57.26612903,48.42903226,13.44677419,38.86774194,0.225806452,138,68.72258065,13.0683,6.6675,1.04013,0,8.2677,4.8006,1.76022,0.250698,0.098622345,4.5,26.67,0.43227625,0.340063163,0.335477297,0.32445954,0.999997589,54.30095251,31.2732,0.021362288,0.02136234,16.86529,17.55402,205006,32.32672902
6,Kaakaorengas tai pallo / Cocoa hoops,14,Carbohydrate,Not HPF,MED,HED,UPF,UPF,57.59677419,58.61451613,18.6,33.13225806,0.677419355,137.4232258,59.90322581,22.73188,1.23474,3.0077,2.91272,7.4401,15.29178,0.41158,0.18996,0.07472856,3.79,31.66,0.148802,0.340776797,0.335735153,0.32348805,0.99997639,72.17672386,39.4973,0.030788747,0.030789474,17.41726,18.09575,105785,16.68089241
7,Kabanossi / Kabanos-style sausage,15,Fat,HPF,MED,HED,UPF,UPF,55.70967742,65.67903226,30.29354839,49.31935484,1.35483871,110.3341935,62.50645161,1.07824,10.3136,5.6256,0,0.4688,0.60944,3.42224,1.03136,0.405727773,2.56,46.88,0.3809,0.342026343,0.336348182,0.321625475,0.999993349,56.66989896,27.86222,0.023036588,0.023036741,16.37754,17.1321,218507,34.45565777
8,Kananugetit / Chicken nuggets,16,Combo,Not HPF,MED,HED,UPF,UPF,65.5483871,80.50322581,22.70806452,44.42903226,3.048387097,149.2219355,68.74516129,9.04912,5.9016,7.72126,0.44262,0.34426,8.70486,0.68852,0.54098,0.21281668,2.44,49.18,2.50818,0.343903117,0.336682275,0.319414607,0.999998088,59.29419819,28.37708,0.029809439,0.029809496,16.74804,17.45171,35165,5.545054418
9,Kandisokerikeksejä / Caramelized sugar & cinnamon biscuit,17,Combo,HPF,HED,VHED,UPF,UPF,57.28225806,53.77258065,17.30806452,28.81612903,0.451612903,126.2864516,62.67903226,9.796,4.898,1.15103,0,9.796,0,2.40002,0.19592,0.077073171,4.9,24.49,0.225119615,0.345736837,0.335928625,0.318334539,0.999993599,61.02139188,34.03492,0.02425906,0.024259215,17.18403,17.83466,403522,63.63007106
10,Kermajuusto / High-fat mild cheese,18,Fat,Not HPF,MED,HED,PF,MPF,66.94354839,78.69193548,40.61129032,50.10483871,10.0483871,137.6980645,70.22741935,0,9.5613,8.2425,0,0,0,5.6049,0.42861,0.16861133,3.64,32.97,0.2960706,0.340720767,0.336947259,0.322331974,0.999998919,57.71014626,24.29153,0.025781226,0.025781254,15.72404,16.69692,363859,57.37574166
11,Korvapuusti / Cinnamon bun,19,Combo,HPF,MED,HED,UPF,UPF,69.12096774,83.60645161,21.67419355,37.49516129,2.709677419,127.6219355,66.27903226,16.7284,4.5038,2.34841,0,6.1123,10.6161,0.90076,0.244492,0.09618096,3.73,32.17,0.224117667,0.343084497,0.335944064,0.320971439,0.999994264,61.69518538,28.73077,0.025504809,0.025504955,16.86728,17.502,276814,43.64989886
13,Kuivatut taatelit / Dried dates,20,Carbohydrate,Not HPF,MED,HED,PF,MPF,51.96774194,54.72741935,63.17258065,48.4,1.580645161,134.2993548,62.70483871,27.6624,0.08136,1.34244,1.6272,27.6624,0,0.04068,0.008136,0.003200629,2.95,40.68,0.31527,0.342195695,0.334241658,0.323562647,0.999993599,64.67577182,36.9071,0.019301004,0.019301127,17.0838,17.75786,337941,53.28881658
14,Lakritsi kermajäätelöä / Liquorice ice cream,21,Combo,HPF,MED,HED,UPF,UPF,49.32258065,58.02741935,18.71290323,28.87580645,0.677419355,131.6167742,63.12258065,16.6005,5.6916,1.09089,0,12.8061,3.7944,2.32407,0.080631,0.031719512,2.53,47.43,0.271405,0.338015505,0.336108545,0.32587595,0.99998753,56.88867427,31.92087,0.031980043,0.031980442,17.07087,17.82061,165868,26.15518516
15,Lakritsipatukka / Salty liquorice bar,22,Carbohydrate,Not HPF,MED,HED,UPF,UPF,53.57258065,73.51774194,22.88387097,24.97419355,1.580645161,96.61548387,61.51612903,27.892,0.1468,1.2845,0,17.249,10.643,0,0.15414,0.060637293,3.27,36.7,0.58490625,0.3382323,0.336337488,0.325430212,0.999992601,55.41867682,31.98997,0.014792282,0.014792392,16.85485,17.40664,179290,28.27165666
16,Lauantaimakkara / Mild cold cuts (sausage),23,Fat,HPF,MED,MED,UPF,UPF,47.95967742,68.59193548,31.45645161,51.46129032,1.241935484,139.4554839,63.13870968,2.79812,10.2239,4.25099,0,0,2.79812,3.7667,1.02239,0.402199056,2.23,53.81,0.298944444,0.340175459,0.335134282,0.32469026,0.999999335,62.1826825,24.88498,0.021970822,0.021970837,16.83368,17.4433,422191,66.57392491
17,Maapähkinä / Roasted & Salted peanuts,24,Fat,Not HPF,HED,VHED,PF,MPF,62.32258065,80.85322581,48.22258065,45.88225806,4.741935484,143.9380645,74.57580645,2.1329,9.92768,4.73116,1.58998,1.00828,1.12462,1.51242,0.48475,0.190696302,6.19,19.39,0.1056755,0.342989981,0.336525901,0.320484119,0.999995843,61.29651611,26.50304,0.024389995,0.024390096,16.71905,17.44897,310255,48.92310133
18,Maissihiutaleet / Cornflakes,25,Carbohydrate,Not HPF,MED,HED,UPF,UPF,53.94354839,72.86774194,44.37903226,32.24354839,0.564516129,104.6554839,47.21612903,25.625,0.59375,2.65625,0,2.03125,23.59375,0.09375,0.46875,0.184402046,3.84,31.25,0.090625,0.345522997,0.338245991,0.316231011,0.999925762,66.22012173,29.93391,0.039926733,0.039929697,16.97921,17.79247,148353,23.39330181
19,Maitosuklaa / Milk chocolate,26,Combo,HPF,HED,VHED,UPF,UPF,70.11290323,87.48387097,17.55322581,32.69193548,6.887096774,129.8903226,72.9983871,10.6918,7.2006,2.4002,0,10.4736,0.2182,4.5822,0.07637,0.030043273,5.5,21.82,0.271659,0.340706646,0.336044347,0.323249007,0.999994763,61.6069309,29.25437,0.020077467,0.020077572,16.60068,17.32158,210672,33.22018212
20,Maitosuklaalla kuorrutettu minttutryffeli / Milk chocolate covered mint truffle,27,Combo,HPF,HED,VHED,UPF,UPF,59.82258065,69.3,10.88387097,29.6983871,1.919354839,132.1896774,72.62903226,14.604,6.3284,0.8519,0,13.1436,1.4604,3.1642,0.021906,0.008617624,4.93,24.34,0.293818571,0.340311309,0.335708425,0.323980265,0.999992518,58.60798428,29.41054,0.019180461,0.019180604,16.68232,17.4062,224815,35.45034577
21,Maitosuklaalla kuorrutettu rapea maissipuffi / Chocolate covered crunchy corn puffs,28,Combo,HPF,HED,VHED,UPF,UPF,63.29032258,65.43387097,16.78225806,26.66612903,0.677419355,125.2025806,60.02903226,12.7851,7.1776,1.54767,0,10.7664,2.0187,4.486,0.058318,0.022941778,5.35,22.43,0.355141667,0.343489503,0.335374251,0.321136246,0.999992019,63.9390357,34.53046,0.021913876,0.021914051,16.75586,17.49639,349623,55.13091314
